id|type|question|answer|attachment
1|general|Какой суд будет рассматривать дело?|"Уголовные дела рассматриваются по месту совершения преступления, гражданские – по месту нахождения ответчика. Бывают исключения, например, дело может рассматриваться по месту жительства потерпевшего, или привлекаемого к административной ответственности. 
Территория каждого населенного пункта разделена между судами, суд рассматривает дела по своей “территориальной подсудности”. (glossary_12) $ Уточнить, относится ли тот или иной адрес к подсудности конкретного суда, можно в разделе “Территориальная подсудность” на сайте суда. "|Render_rayonn_territ_podsudnost.gif
2|general|Как найти информацию о суде?|На сайте суда в разделе “О суде” (у районных и городских судов) или “Судебные участки” (у мировых судей) – информация о сотрудниках суда и судьях, номерах телефонов уголовной и гражданской канцелярии, режиме их работы, телефонах залов суда. Есть отдельный раздел “территориальная подсудность”(glossary_12) внутри раздела “о суде”.|Render_rayonn_territ_podsudnost.gif; Render_mir_sud.gif
3|general|Как найти информацию о заседании?|Если известно имя, фамилия или отчество участника(glossary_24) процесса, то информацию можно найти в разделе “Поиск информации по делам” внутри раздела “Судебное делопроизводство”. В картотеке нужно выбрать вид судопроизводства: по гражданским и административным делам / по уголовным делам / по делам об административных правонарушениях и стадию рассмотрения дела. $ Доступен также поиск по номеру дела, номеру статьи, рассматривающем дело судье, дате поступления дела.|Render_rayonn_poisk_po_familii.gif
4|general|Где проходят судебные заседания?|Обычно судебное заседание проходит в суде, которому дело подсудно(glossary_12), однако оно может проходить также и вне здания суда – в больнице, учреждении исправительной системы, воинской части, отделе полиции. Такие заседания называются выездными. Слушания могут проходить также на базе суда другого региона. $ В таком случае информация о деле будет указана на сайте суда, который рассматривает дело, но не на сайте суда, в здании которого проходят заседания. |Rayonn_sud_info_o_zasedanii.gif
5|general|Как найти информацию об арестованных?|На сайте суда в разделе “Производство по материалам” внутри раздела “Судебное делопроизводство” можно найти информацию об избрании меры пресечения, например, аресте. Суд для решения вопроса об избрании меры пресечения должен состояться в течение 48 часов после задержания человека – в это время обычно появляется информация на сайте суда. $ Пока ведется расследование, слушания о продлении ареста могут проходить несколько раз – как правило, каждые 2 месяца. После завершения следствия материалы дела передают судье, который будет рассматривать дело – с этого момента до начала слушания процесса может пройти от нескольких дней до нескольких недель.|
6|general|Всегда ли информация о деле есть на сайте суда?|"Публикация информации на сайте суда – это его обязанность. Однако суды не всегда выполняет ее добросовестно.
Информация может публиковаться с большими задержками, например, в случае массовых задержаний на публичных акциях, когда проходит много заседаний в нерабочее время. $ Также зачастую скрывается информация по делам с участием несовершеннолетних (на момент совершения преступления) и по делам о терроризме и экстремизме. В таких случаях могут отсутствовать имя и фамилия подсудимых – вместо этого может быть указано “Без имени”, “Информация скрыта” – или полностью отсутствовать вся информация о деле."|
7|general|Если информации о деле нет на сайте|Информацию о деле можно узнать по телефону канцелярии суда: уголовной, административной или гражданской. Ее могут узнать и участники(glossary_24) дела, и слушатели(glossary_19).|
8|general|Как найти текст решения суда?|"Тексты решений(glossary_18) публикуются в карточке дела на сайте суда приблизительно в течение месяца после вступления его в силу. Опубликованные решения обезличиваются: из них исключаются личные данные свидетелей и потерпевших. Все остальные сведения, не являющиеся персональными данными, в тексте должны оставаться. $ Не все решения публикуются: решения о безопасности государства, о преступлениях против половой неприкосновенности, по семейным делам, об ограничении дееспособности, о признании недееспособным, о принудительной госпитализации и принудительном психиатрическом освидетельствовании, о внесении исправлений или изменений в запись актов гражданского состояния, об установлении фактов, имеющих юридическое значение, рассматриваемых судами общей юрисдикции.
Если текста решения нет на сайте суда, можно направить запрос о выдаче копии решения – как показывает практика, документ не предоставляют, но публикуют решение на сайте."|
9|buildingentrance|Правила поведения в суде|В каждом суде есть правила поведения посетителей, как правило, они опубликованы на сайте и похожи друг на друга. Они устанавливают допуск посетителей в здание суда в рабочее время при представлении документов, удостоверяющих личность. (http://www.consultant.ru/document/cons_doc_LAW_149244/) $ В некоторых судах вводят различные ограничения, например, на фото- и видеосъемку в коридорах, на работу журналистов: требование представляться судье, обязательное сопровождение пресс-секретарем суда. Соблюдение правил поведения в суде обеспечивают судебные приставы(glossary_20).|
10|buildingentrance|Документы для прохода в суд|Паспорт или другой документ, удостоверяющий личность. (http://www.consultant.ru/document/cons_doc_LAW_149244/) В условиях COVID-19 в судах также требуют иметь средства индивидуальной защиты (маски, перчатки).|
11|buildingentrance|Я не гражданин России, пустят ли меня в суд?|В суд пускают при предъявлении документа, удостоверяющего личность. (http://www.consultant.ru/document/cons_doc_LAW_149244/) Для иностранного гражданина это паспорт иностранного гражданина (или любой иной документ, признаваемый на территории вашей страны документом, удостоверяющим личность).|
12|buildingentrance|Можно прийти в суд с детьми?|"Да, если вы – его/её законный представитель (родитель, усыновитель или опекун).
Ограничения на посещение суда несовершеннолетними (т.е. детьми в возрасте с 14 до 18 лет) обычно содержатся в правилах пребывания в конкретном суде. Они должны быть опубликованы на сайте."|
13|buildingentrance|Кто пропускает в суд?|Судебные приставы(glossary_20) – они проверяют документы, записывают данные документа, спрашивают цель посещения – номер зала или фамилию судьи, к которому вы идете, иногда уточняют статус, в котором вы пришли в суд. Также они просят пройти через рамку металлодетектора, установленную на входе в здание, и досматривают личные вещи на наличие запрещенных к проносу предметов. (question_15) $ Судебные приставы не являются сотрудниками суда, однако они выполняют распоряжения председателя(glossary_14) суда и судей. Законные требования приставов обязательны для присутствующих в суде.|
14|buildingentrance|Дресс-код в суде|Требования к внешнему виду посетителей обычно содержатся в правилах пребывания в конкретном суде. Они могут запрещать посещение суда в состоянии опьянения, в виде, не отвечающем санитарно-гигиеническим требованиям, в агрессивном состоянии. $ Как показывает практика, в суды не пускают посетителей в чрезмерно открытой, летней одежде (майки, шорты).|
15|buildingentrance|Запрещенные в суде предметы|Есть список очевидно запрещенных предметов: оружие, взрывчатые вещества, наркотики. Тем не менее, часто запрещают проносить острые и колющие предметы (ножи, маникюрные ножницы, пилочки), баллончики, крупные предметы, например, самокаты, иногда даже воду. $ Перечень запрещенных к проносу предметов содержится в правилах пребывания в конкретном суде, однако он не является исчерпывающим – приставы(glossary_20) могут толковать список достаточно расширительно. В некоторых судах на входе в здание есть ячейки для хранения, где можно оставить вещи.|
16|buildingentrance|Приставы не пускают в суд|"Не создавая конфликтной ситуации, выясните причину, по которой вас отказываются пустить в здание. Помните, за невыполнение законных требований пристава(glossary_20) можно понести ответственность. 
Позвоните в приемную или секретарю судьи, на заседание которого вы направляетесь – иногда обращение к сотрудникам суда может разрешить ситуацию. $ Если же приставы не называют причину недопуска или ограничивают законное право присутствовать в суде – пускают на процесс только журналистов или родственников – то следует зафиксировать фамилию, номер нагрудного жетона сотрудника, при возможности – записать на видео факт недопуска, и подать жалобу начальнику структурного подразделения службы судебных приставов, приложив видеозапись. Это можно сделать заказным письмом или через интернет-приемную сайта службы судебных приставов."|
17|buildingentrance|Нужно ли приходить на заседание заранее?|Не забывайте, что в суд помимо вас ходят представители(glossary_16), прокуроры и другие участники(glossary_24) дел, потому может образоваться очередь. Стоит учитывать возможность переноса рассмотрения дела на более раннее время или, более вероятное, рассмотрение дела в другом зале. $ Спрогнозировать заранее, сколько именно времени займут досмотр приставами(glossary_20) и поиск нужного зала, сложно, поэтому лучше приходить в суд хотя бы за 15 минут до начала заседания.|
18|buildingentrance|Можно ли приносить в суд технику?|Обычный смартфон или ноутбук не требует специальных разрешений. Однако для проноса специальной фото- и видеотехники в здание суда, как правило, необходимо разрешение председателя(glossary_14) суда, поэтому требуется заранее подать заявку. Обычно такая информация размещена на сайте суда в разделе «Пресс-служба», а также содержится в правилах пребывания посетителей.|
19|buildingentrance|Съемка фото и видео в здании суда|"В отличие от зала суда, снимать в здании и общедоступных помещениях суда можно без разрешения, спрашивать разрешение не требуется. К местам общего доступа относятся коридоры, лестницы, помещения с информационными киосками и стендами, прилегающие к суду территории. $ Изображение человека можно публиковать без его согласия в случае, если оно – не главное на фотографии (общее фото происходящего в коридоре судебного заседания или на входе в суд), а также в общественно-значимых целях (если в центре изображения – публичный человек).
Ответственности за фото- и видеосъемку в здании суда нет, однако установлена ответственность за неисполнение законного распоряжения судебного пристава(glossary_20), например, требования прекратить фото- или видеосъемку."|
20|buildingentrance|Можно получить справку о посещении суда?|Слушателям(glossary_19) такие документы не выдаются. Участники(glossary_24) дела получают повестки, присяжные заседатели – справку о выполнении обязанностей присяжного заседателя.|
21|roomentrance|Мне не хватило места в зале суда|"Если заседание еще не началось, а желающих на нем присутствовать много и не все могут поместиться в зале – следует обратиться к секретарю судьи с просьбой обеспечить дополнительные места или перенести заседание в более просторное помещение суда, или – организовать трансляцию из зала.
Если слушание уже началось, можно направить обращение об обеспечении гласности на имя председателя(glossary_14) суда – по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда. $ Намеренное создание условий, ограничивающих или исключающих доступ публики, свидетельствует о нарушении судьей профессиональной этики. К сожалению, в российской практике суд редко принимает во внимание общественную значимость дела и предпринимает меры для обеспечения условий присутствия публики."|
22|roomentrance|Участники против моего присутствия|Желание кого-либо из участников(glossary_24) процесса или их родственников, чтобы в зале не было слушателей(glossary_19), не является запретом на присутствие в заседании. Если процесс открытый, в него могут попасть все желающие. $ Однако лица, участвующие в деле, могут заявить ходатайство о проведении закрытого судебного разбирательства в целях сохранения тайны, например, медицинской или семейной тайны. Решение по заявленному ходатайству принимает судья с учетом мнения сторон и в случае удовлетворения выносит определение о закрытии части или всего процесса – до этого момента публика имеет право находиться в зале.|
23|roomentrance|Меня пригласят в зал суда?|Секретари и помощники судей проверяют явку участников(glossary_24) процесса и, как правило, приглашают в зал только их. Иногда они сообщают слушателям(glossary_19), что в зал заседаний можно пройти, но это не регламентировано. $ Поэтому стоит быть внимательными на входе в зал и уточнить, можно ли войти, когда станет понятно, что слушание вскоре начнется. |
24|roomentrance|Меня не пускают в зал суда|Нужно выяснить причину, по которой сотрудники суда или приставы(glossary_20) отказываются пустить в зал – чаще всего это связано с указанием судьи, рассматривающего дело. $ Если причину недопуска не называют, или ограничивают законное право присутствовать в зале – пускают на процесс только журналистов, или родственников, например – следует выяснить фамилию сотрудника, по возможности – зафиксировать на видео факт недопуска и подать жалобу председателю(glossary_14) суда. Это можно сделать по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда. Также можно обратиться в Квалификационную коллегию судей.|
25|roomentrance|Что такое закрытый судебный процесс?|Закрытый судебный процесс – судебное разбирательство, при котором не разрешается присутствовать посторонним(glossary_19) лицам, не участвующим в судебном разбирательстве. В уголовном процессе всегда закрыты предварительные заседания по делу, в гражданском и административном процессах они для публики открыты. $ В некоторых случаях суд может удалить слушателей с заседания или его части – когда обсуждается частная жизнь кого-либо из участников процесса или разглашается какая-либо охраняемая законом тайна. Лица, участвующие(glossary_24) в деле, могут заявить ходатайство о проведении закрытого судебного разбирательства – решение по такому ходатайству принимает судья с учетом мнения сторон. Процесс также может быть полностью закрыт для публики и проходить в закрытом режиме, однако оглашение приговора(glossary_17) всегда проходит в открытом судебном заседании. Перед закрытием части заседания или всего процесса судья выносит соответствующее постановление, до этого момента публика имеет право находиться в зале.|Жалоба_на_закрытое_заседание.docx
26|roomentrance|Сотрудник суда потребовал паспорт|Обязанности предъявлять документы и передавать паспорт секретарю или помощнику судьи у слушателей(glossary_19) нет – стоит уточнить причину в ответ на требование предъявить паспорт. Чаще всего секретари и помощники судей объясняют это необходимостью убедиться, что вы не являетесь свидетелем по данному делу – присутствие свидетелей в зале до начала допроса недопустимо. (question_36) $ Зачастую паспорт просят у всех пришедших, иногда вносят данные документа в протокол заседания или даже копируют его. Эти действия незаконны, и мы рекомендуем в таком случае подать жалобу на действия сотрудников суда. Это можно сделать по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда. |
27|roomentrance|Кто первыми заходят в зал суда?|Порядок входа в зал судебного заседания не регламентирован. Все лица, не являющиеся(glossary_19) участниками процесса, равны в своих правах, ни у кого нет приоритетного права на вход в зал. На практике секретарь или помощник судьи обычно проверяет явку сторон процесса и приглашает их пройти в зал первыми. $ Часто сначала в зал пропускают родственников и журналистов, так как на последних лежит обязанность о донесении информации до широкого круга лиц.|
28|roomentrance|Может ли заседание начаться не вовремя?|Заседание могут начать как позже, например, из-за задержки предыдущих слушаний у судьи (иногда заседание может задержаться даже на несколько часов), так и раньше – это еще одна причина, почему важно приходить заранее. |
29|roomentrance|Можно ли зайти в зал после начала заседания?|Такая возможность не регламентирована. Можно попробовать пройти в зал, если вы опоздали к началу заседания, однако судья может расценить это как нарушение порядка и удалить из зала.|
30|roomentrance|Сколько обычно длится заседание?|От нескольких минут до целого рабочего дня, длительность заседаний не регламентирована. Как правило, слушания по гражданским делам длятся меньше, по уголовным – дольше. Заседания могут задерживаться из-за рассмотрения назначенных ранее дел, судья может объявлять обеденные перерывы.|
31|roomentrance|Могу я выйти покурить или позвонить и снова вернуться?|Выйти из зала всегда можно, но войти обратно в зал судебного заседания вы, скорее всего, не сможете, так как судья может это расценить как нарушение порядка (question_29) в то время, как идет процесс, судья может расценить как нарушение порядка. (question_42)|
32|roomentrance|Заседания вечером и в выходные|"Заседания могут проходить в нерабочее, вечернее или ночное, время, в выходные и праздничные дни. Как правило, заседания в это время проходят в тех случаях, когда касаются избрания меры пресечения, ареста, в том числе после задержаний на массовых мероприятиях. 
В нерабочее время в суде можно присутствовать по решению председателя(glossary_14) суда. Как показывает практика, слушателей(glossary_19) в таких случаях пускают редко. Можно подать обращение по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда."|
33|roomentrance|Меня просят выйти из коридора суда|В старых зданиях судов обычно нет отдельного входа для конвоируемых, и сотрудники суда или приставы(glossary_20) могут попросить отойти от зала или выйти из коридора на лестничную площадку. Если вас просят выйти по другой причине, постарайтесь ее выяснить, не создавая конфликтной ситуации. (question_16)|
34|incourt|Как устроен зал суда?|Схема показана на картинке|
35|incourt|Как себя вести в зале?|"При входе судьи в зал и выходе из него необходимо вставать. Обращаться к судье и участвующим(glossary_24) в деле слушатели(glossary_19) не имеют права, но вас могут спросить, кто вы, откуда, ведете ли записи – отвечать следует вежливо, стоя, обращаясь к суду. Обычно участникам дела достаточно знать, что вы – слушатель, и не имеете отношения к участникам дела.
Места для публики, как правило, предусмотрены напротив места председательствующего(glossary_15) – обычно это одна или несколько скамей. 
Правила пребывания в конкретном суде можно найти на сайте суда."|
36|incourt|Почему секретарь спрашивает паспорт?|В суды редко приходят слушатели(glossary_19), не участвующие в деле, и сотрудники суда не привыкли к вниманию публики. Чаще всего помимо участников процесса секретари сталкиваются со свидетелями, и обычно хотят убедиться, что свидетели не будут присутствовать в зале до начала допроса, так как это может повлиять на их показания. (question_26)|
37|incourt|Можно обращаться к участникам процесса?|Только если вы участвуете в деле, у слушателей(glossary_19) такого права нет, но вас могут спросить, кто вы, откуда, ведете ли записи – отвечать следует вежливо, стоя, обращаясь к суду “ваша честь” или “уважаемый суд”. Обычно участникам(glossary_24) дела достаточно знать, что вы – слушатель, и не имеете отношения к участникам дела. Судья может расценить обращение к адвокату(glossary_1), подсудимому, прокурору и др. как нарушение порядка (question_42) в зале. Если вы хотите что-то уточнить у участников процесса, лучше это сделать до заседания или в перерыве.|
38|incourt|Можно ли пользоваться телефоном в зале суда?|Телефоном можно пользоваться в беззвучном режиме, делать заметки в электронном виде, вести аудиозапись. Фото- / видеосъемку можно вести только с разрешения судьи – о возможности снимать стоит спросить секретаря до того, как судья придет в зал и начнет заседание. $ Также можно попросить кого-либо из участников(glossary_24) процесса ходатайствовать о ведении съемки – так как обращаться к судье могут только лица, участвующие в деле. Иногда судья в начале заседания говорит, можно ли снимать, особенно если в зале есть журналисты или пришло много слушателей(glossary_19).|
39|incourt|Мои права как слушателя|Слушатели(glossary_19) имеют право только присутствовать в открытом судебном заседании, вести аудиозапись и письменные записи без разрешения судьи. Разговаривать с участниками процесса, обращаться к суду, ходатайствовать о чем-либо могут только участники(glossary_24) дела.|
40|incourt|Можно ли снимать фото и видео в зале суда?|"В отличие от здания суда фото- / видеосъемку в судебном заседании можно вести только с разрешения судьи. Судебное заседание начинается с момента входа судьи в зал, таким образом, до того, как судья вошел в зал, вы можете снимать. О возможности снимать в судебном заседании стоит спросить секретаря до того, как судья придет в зал и начнет заседание. $ Также можно попросить кого-либо из участников(glossary_24) процесса ходатайствовать о ведении съемки – так как обращаться к судье могут только лица, участвующие в деле. 
Судья может в начале заседания сказать, что все присутствующие могут вести съемку, или предупредить, в какие моменты она будет разрешена (например, при вынесении приговора) и чем ограничена (могут запретить снимать судью и государственного обвинителя)."|
41|incourt|Можно ли публиковать фото и видео из зала суда?|"Изображение человека можно публиковать без его согласия, если оно не главное на фотографии (общее фото происходящего), а также в общественно-значимых целях (если в центре изображения – публичный человек).
Следует избегать публикации портретных фотографий, чтобы избежать претензий о нарушении права на изображение."|
42|incourt|Нарушение порядка в зале заседания|"Нарушением порядка в зале суда могут быть шум, звук мобильного телефона, вход в зал после начала слушания, проявление неуважения к суду, хождение по залу, оскорбление кого-либо из присутствующих. Судья может вынести предупреждение о недопустимости нарушения, затем – удалить из зала, если его требование не выполняют, попросить судебных приставов(glossary_20) удалить посетителей. $ В уголовных процессах судья может удалить слушателей(glossary_19) без предварительного предупреждения – не всегда так происходит, но стоит иметь это в виду. 
За нарушение могут составить протокол о привлечении к административной ответственности и наложить штраф, или административный арест до 15 суток. Размер штрафа зависит от процесса: в гражданском процессе до 1000 руб.; в арбитражном и уголовном — до 2500 руб. Если судья решит, что в действиях лица есть признаки преступления, он может направить материалы в правоохранительные органы для возбуждения уголовного дела."|
43|incourt|Меня удаляют из зала, что делать?|"Следует избегать конфликта с сотрудниками суда и приставами(glossary_20), уточнить причину и выйти из зала. Слушателей(glossary_19) могут попросить уйти в нескольких ситуациях: предварительное заседание по уголовному делу; оглашение сведений, содержащих какую-либо личную или государственную тайну или если суд закрыл процесс от публики (после вынесения соответствующего определения). $ Если вы считаете ваше удаление незаконным, можно подать жалобу на имя председателя(glossary_14) суда – по почте, через судебную канцелярию, или через форму “Обращения граждан” на сайте суда. 
Несмотря на закрытый процесс, приговор(glossary_17) всегда оглашается публично."|
44|incourt|Можно ли публиковать услышанное в заседании?|"Любой человек вправе свободно распространять любые оглашенные в открытом судебном заседании данные. Предупредить о том, что какие-то данные не нужно публиковать, должен суд. $ Рекомендуется: 
– воздержаться от публикации адресов участников(glossary_24) процесса, медицинской информации;
– уважать презумпцию невиновности и не называть подсудимого преступником до вынесения приговора(glossary_17), так как до вступления приговора в силу человек невиновен."|
45|incourt|Можно ли получить текст решения?|"Тексты решений(glossary_18) публикуются в карточке дела на сайте суда через месяц после вступления его в силу. Не публикуются приговоры(glossary_17) по уголовным делам экстремистской направленности, по делам с участием несовершеннолетних. Опубликованные решения обезличиваются: исключаются личные данные свидетелей и потерпевших. $ Все остальные сведения, не являющиеся персональными данными, в тексте должны оставаться. Не публикуются решения о безопасности государства, о преступлениях против половой неприкосновенности, по семейным делам, об ограничении дееспособности, о признании недееспособным, о принудительной госпитализации и принудительном психиатрическом освидетельствовании, о внесении исправлений или изменений в запись актов гражданского состояния, об установлении фактов, имеющих юридическое значение, рассматриваемых судами общей юрисдикции. 
Если текста решения нет на сайте суда, можно направить запрос о выдаче копии решения или публикации текста на сайте – документ, как показывает практика, не предоставляют, но публикуют решение на сайте.
Если вы участник(glossary_24) дела, то сможете забрать текст решения в канцелярии суда."|